nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0        0.001     0.999989   -0.0118571|  u2
   2 0        0.001            0        0.005     0.999873   -0.0560804|  u2
   3 0        0.005            0        0.021     0.994512    -0.722306|  u2
   4 0        0.021            0        0.085     0.900778    -0.529892|  u2
   5 0        0.085            0     0.260918     0.734675     -1.95248|  u2
   6 0     0.260918            0     0.964592    0.0445106     -1.81801|  u2
   7 0     0.964592            0      3.77929       2.7661      1.57202|  u1
   8 1     0.964592      3.77929      1.56361     0.579768      1.02959|  u1
   9 1     0.964592      1.56361       1.0853    0.0773658     0.137458|  u1
  10 1     0.964592       1.0853     0.996549    -0.010205    -0.552869|  u2
  11 1     0.996549       1.0853      1.00023   -0.0111561    0.0370958|  u3
  12 1      1.00023     0.996549     0.999993   -0.0111603  -0.00110003|  u3
  13 1     0.999993      1.00023     0.999994   -0.0111603 -0.000999999|  t1
