nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0          0.1     0.998166  -0.00893834|  u2
   2 0          0.1            0          0.5     0.994626  -0.00875274|  u2
   3 0          0.5            0          2.1      3.17805      1.98901|  u1
   4 1          0.5          2.1     0.502925     0.994601  -0.00875036|  u2
   5 1     0.502925          2.1      1.55699      2.09803      1.98889|  u1
   6 1     0.502925      1.55699     0.506422      0.99457  -0.00874746|  u2
   7 1     0.506422      1.55699       1.1998      1.38771       1.9878|  u1
   8 1     0.506422       1.1998     0.587103     0.993867  -0.00865908|  u2
   9 1     0.587103       1.1998     0.991483      0.99474      0.34229|  u1
  10 1     0.587103     0.991483      0.79144     0.992157  -0.00780492|  u2
  11 1      0.79144     0.991483     0.923468     0.991385 -0.000530638|  t1
