nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0        0.001     0.999452    -0.298879|  u2
   2 0        0.001            0        0.005     0.999104   -0.0281262|  u2
   3 0        0.005            0        0.021     0.998887    -0.010019|  u2
   4 0        0.021            0        0.085       0.9983  -0.00895935|  u2
   5 0        0.085            0        0.341     0.996026  -0.00883976|  u2
   6 0        0.341            0        1.365      1.71619      1.98868|  u1
   7 1        0.341        1.365     0.356369      0.99589  -0.00883384|  u2
   8 1     0.356369        1.365      1.02207       1.0361      1.89997|  u1
   9 1     0.356369      1.02207     0.589187     0.993849  -0.00865609|  u2
  10 1     0.589187      1.02207     0.874887     0.991569  -0.00577534|  u2
  11 1     0.874887      1.02207     0.972025     0.992033    0.0493425|  u1
  12 1     0.874887     0.972025     0.912386     0.991403  -0.00250693|  u2
  13 1     0.912386     0.972025     0.922752     0.991386 -0.000684075|  t1
