nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0         1000          999         1.99|  u1
   2 1            0         1000      4.39498      3.38198       1.5874|  u1
   3 1            0      4.39498     0.123143     0.892246    -0.697913|  u2
   4 1     0.123143      4.39498      1.14417     0.157581      1.55283|  u3
   5 1      1.14417     0.123143     0.439292     0.576521     -1.20437|  u1
   6 1      1.14417     0.439292     0.967969    0.0381964     -1.91511|  u3
   7 1     0.967969      1.14417      1.06522    0.0758399     0.253527|  u1
   8 1     0.967969      1.06522     0.992314  -0.00644853     -1.21765|  u2
   9 1     0.992314      1.06522      1.00232   -0.0107297     0.371636|  u3
  10 1      1.00232     0.992314     0.999971   -0.0111603  -0.00463287|  u3
  11 1     0.999971      1.00232     0.999994   -0.0111603 -0.000995454|  t1
