nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0        0.001 -1.24687e-09 -9.96875e-07|  u2
   2 0        0.001            0        0.005  -1.3063e-08  -5.7992e-06|  u2
   3 0        0.005            0        0.021 -7.71484e-07 -0.000123047|  u2
   4 0        0.021            0        0.085   -0.0001199  -0.00532604|  u2
   5 0        0.085            0        0.341   -0.0234463    -0.257674|  u2
   6 0        0.341            0        1.365     -2.21637     -2.96341|  u2
   7 0        1.365            0        5.461      3090.75      3154.21|  u1
   8 1        1.365        5.461      2.10702      2.20492      24.0376|  u1
   9 1        1.365      2.10702      1.55169     -2.60243    -0.834098|  u2
  10 1      1.55169      2.10702      1.59758     -2.62141     0.032517|  u3
  11 1      1.59758      1.55169      1.59586     -2.62144    -0.002843|  u3
  12 1      1.59586      1.59758        1.596     -2.62144 -4.72604e-08|  t1
