nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0         1000   9.9802e+14  4.99208e+12|  u1
   2 1            0         1000      222.296  5.37984e+11  1.21224e+10|  u1
   3 1            0      222.296      49.4728  2.84504e+08  2.89935e+07|  u1
   4 1            0      49.4728      11.0694       136422      64314.8|  u1
   5 1            0      11.0694      2.54337      23.0487      78.3005|  u1
   6 1            0      2.54337     0.720115    -0.350786      -1.6628|  u2
   7 1     0.720115      2.54337      1.62965     -2.60935     0.733584|  u3
   8 1      1.62965     0.720115      1.35122     -2.17497      -3.0463|  u1
   9 1      1.62965      1.35122      1.59504     -2.62143   -0.0196199|  u3
  10 1      1.59504      1.62965        1.596     -2.62144  1.27653e-05|  u3
  11 1        1.596      1.59504        1.596     -2.62144 -7.41626e-08|  u3
  12 1        1.596        1.596        1.596     -2.62144  -5.1072e-08|  u2
  13 1        1.596        1.596        1.596     -2.62144  -5.1072e-08|  t1
