nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0           10            9         0.01|  u1
   2 1            0           10     0.018707     0.996017    -0.591998|  u2
   3 1     0.018707           10     0.916637    0.0771516   -0.0860435|  u2
   4 1     0.916637           10      5.45832      4.47417      1.19401|  u1
   5 1     0.916637      5.45832       1.0208    0.0160781      1.94679|  u3
   6 1       1.0208     0.916637     0.920995    0.0769495   -0.0180418|  u1
   7 1       1.0208     0.920995      1.00027   -0.0111547    0.0427501|  u2
   8 1      1.00027     0.920995     0.960631    0.0514142     -1.66004|  u1
   9 1      1.00027     0.960631      0.99999   -0.0111603  -0.00153474|  u3
  10 1      0.99999      1.00027     0.999994   -0.0111603 -0.000999991|  t1
