nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0         1000      1988.05      1.98905|  u1
   2 1            0         1000      89.5995      177.219      1.98905|  u1
   3 1            0      89.5995      8.11516      15.1425      1.98905|  u1
   4 1            0      8.11516     0.834543     0.991833  -0.00713161|  u2
   5 1     0.834543      8.11516     0.839703     0.991797  -0.00701291|  u2
   6 1     0.839703      8.11516      4.47743      7.90686      1.98905|  u1
   7 1     0.839703      4.47743     0.842639     0.991776  -0.00694012|  u2
   8 1     0.842639      4.47743      0.95672     0.991577    0.0166926|  u3
   9 1      0.95672     0.842639     0.871319      0.99159  -0.00594825|  u3
  10 1     0.871319      0.95672     0.920515     0.991388  -0.00113748|  u2
  11 1     0.920515      0.95672     0.921342     0.991387 -0.000974374|  t1
